Layer mean_angle sigma_angle
0 0.023 0.013
1 0.003 0.002
2 0.007 0.004
3 0.007 0.004
4 0.007 0.004
5 0.007 0.004
6 0.007 0.004
7 0.007 0.004
8 0.007 0.004
9 0.007 0.004
10 0.007 0.004
11 0.008 0.004
12 0.008 0.005
13 0.008 0.005
14 0.008 0.005
15 0.008 0.005
16 0.008 0.005
17 0.008 0.005
18 0.009 0.005
19 0.009 0.005
20 0.009 0.005
21 0.009 0.006
22 0.010 0.006
23 0.010 0.006
24 0.010 0.006
25 0.010 0.006
26 0.010 0.006
27 0.011 0.006
28 0.011 0.007
29 0.012 0.007
30 0.012 0.007
31 0.013 0.008
32 0.013 0.008
33 0.014 0.008
34 0.014 0.009
35 0.015 0.009
36 0.017 0.010
37 0.018 0.010
38 0.019 0.010
39 0.021 0.012
40 0.025 0.014
41 0.031 0.016
42 0.033 0.016
43 0.031 0.019
44 0.012 0.097
