0 4  0.967575 0.995903
0 8  0.9175 0.991975
0 16  0.860565 0.9832
0 25  0.829614 0.976903
0 32  0.800531 0.968146
0 64  0.678746 0.92048
0 85  0.602663 0.900867
0 100  0.560016 0.881986
0 128  0.483267 0.838983
0 181  0.367728 0.753157
0 256  0.235344 0.634583
0 350  0.142587 0.518182
0 512  0.0818149 0.341227
1 4  0.859343 0.998609
1 8  0.737017 0.9959
1 16  0.609196 0.989817
1 25  0.532533 0.980117
1 32  0.472238 0.973806
1 64  0.410305 0.939296
1 85  0.349918 0.921151
1 100  0.353729 0.896782
1 128  0.295218 0.857873
1 181  0.245264 0.79564
1 256  0.227196 0.69594
1 350  0.177703 0.56729
1 512  0.126803 0.397465
