0 4  0.931388 0.988342
0 8  0.909607 0.981301
0 16  0.837153 0.964899
0 25  0.781127 0.947451
0 32  0.7353 0.933749
0 64  0.586167 0.850593
0 85  0.505694 0.794904
0 100  0.449968 0.747802
0 128  0.377867 0.674658
0 181  0.276946 0.532588
0 256  0.190041 0.381428
0 350  0.137195 0.257299
0 512  0.0936018 0.144453
1 4  0.850034 0.99463
1 8  0.736891 0.986268
1 16  0.601786 0.972347
1 4  0.853922 0.997082
1 8  0.735438 0.991069
1 16  0.573174 0.980996
1 25  0.499353 0.96482
1 32  0.447695 0.956371
1 64  0.373883 0.901681
1 85  0.3302 0.847686
1 100  0.314521 0.825263
1 128  0.232677 0.777134
1 181  0.199106 0.645185
1 256  0.152204 0.511178
1 350  0.124071 0.360606
1 512  0.0784585 0.230583
