35 4  0.967575 0.995903
35 8  0.9175 0.991771
35 16  0.860565 0.982994
35 25  0.829614 0.976694
35 32  0.800531 0.967933
35 64  0.678746 0.920254
35 85  0.602663 0.900623
35 100  0.560016 0.881486
35 128  0.483267 0.83871
35 181  0.367728 0.752951
35 256  0.235344 0.634228
35 350  0.142587 0.518154
35 512  0.0818149 0.340494
35 4  0.967575 0.995903
35 8  0.9175 0.991975
35 16  0.860565 0.9832
35 25  0.829614 0.976903
35 32  0.800531 0.968146
35 64  0.678746 0.92048
35 85  0.602663 0.900867
35 100  0.560016 0.881986
35 128  0.483267 0.838983
35 181  0.367728 0.753157
35 256  0.235344 0.634583
35 350  0.142587 0.518182
35 512  0.0818149 0.341227
