energy;wepl;expected mean;mean;expected sigma;sigma (fwhm);sigma (fwtm);sigma (fwqm)
175; 0; 175; 172.536; 3.88077; 1.78344; 2.74331; 3.33333
176; 0; 176; 174.121; 3.91005; 3.18471; 5.61724; 4.23423
177; 0; 177; 174.898; 3.93933; 2.54777; 4.31091; 4.32432
178; 0; 178; 175.446; 3.96863; 1.52866; 3.52711; 3.15315
178.5; 0; 178.5; 175.703; 3.95743; 1.78344; 3.91901; 3.42342
179; 0; 179; 176.847; 3.94545; 2.16561; 3.26584; 3.69369
179.5; 0; 179.5; 177.603; 3.93343; 2.67516; 5.22534; 4.14414
180; 0; 180; 178.354; 3.92143; 2.80255; 3.78837; 4.23423
180.5; 0; 180.5; 178.25; 3.91917; 2.80255; 4.04964; 4.32432
181; 0; 181; 178.463; 3.9169; 2.29299; 3.78837; 3.87387
181.5; 0; 181.5; 178.771; 3.91466; 1.52866; 3.78837; 3.33333
182; 0; 182; 179.187; 3.91476; 1.40127; 3.52711; 3.33333
183; 0; 183; 180.747; 3.96432; 2.29299; 3.78837; 3.96396
184; 0; 184; 181.455; 4.01389; 2.92994; 4.04964; 4.32432
185; 0; 185; 182.052; 4.06343; 1.78344; 3.39647; 2.97297
186; 0; 186; 183.128; 4.11298; 1.52866; 3.00457; 3.15315
187; 0; 187; 184.67; 4.16254; 2.80255; 5.09471; 4.23423
188; 0; 188; 185.336; 4.2121; 2.80255; 4.04964; 4.5045
189; 0; 189; 185.833; 4.26166; 2.80255; 4.04964; 3.42342
190; 0; 190; 187.06; 4.3112; 2.29299; 4.18027; 3.6036
191; 0; 191; 188.397; 4.36075; 2.54777; 4.04964; 4.14414
192; 0; 192; 188.725; 4.41031; 2.54777; 3.91901; 4.59459
193; 0; 193; 189.676; 4.45985; 1.78344; 3.91901; 3.42342
194; 0; 194; 191.133; 4.50943; 2.42038; 4.96408; 4.05405
195; 0; 195; 191.942; 4.55898; 3.05732; 4.70281; 4.41441
196; 0; 196; 192.548; 4.60852; 2.16561; 4.04964; 3.42342
197; 0; 197; 193.455; 4.65808; 1.91083; 4.31091; 3.6036
198; 0; 198; 194.752; 4.68364; 2.54777; 4.96408; 4.14414
199; 0; 199; 195.619; 4.66371; 2.80255; 4.04964; 3.33333
200; 0; 200; 196.615; 4.64377; 1.52866; 3.65774; 3.33333
175; 1; 203.575; 200.15; 7.82362; 3.86412; 5.63902; 7.04204
176; 1; 205.592; 203.297; 7.88408; 6.39066; 10.8208; 8.61862
177; 1; 207.608; 204.88; 7.94456; 5.2017; 8.68713; 8.61862
178; 1; 209.625; 206.048; 8.00508; 2.9724; 7.46789; 6.41141
178.5; 1; 210.634; 206.58; 8.03249; 3.56688; 8.07751; 7.04204
179; 1; 211.642; 208.871; 8.05983; 4.01274; 7.46789; 7.25225
179.5; 1; 212.651; 210.403; 8.08714; 5.64756; 10.8208; 8.61862
180; 1; 213.66; 211.91; 8.11443; 5.64756; 7.9251; 8.51351
180.5; 1; 214.722; 211.875; 8.16475; 5.9448; 8.38232; 9.24925
181; 1; 215.784; 212.319; 8.21501; 4.90446; 7.9251; 8.51351
181.5; 1; 216.846; 212.984; 8.26534; 3.7155; 8.07751; 7.04204
182; 1; 217.908; 213.81; 8.31584; 3.41826; 8.22991; 7.04204
183; 1; 220.032; 217.044; 8.42224; 4.90446; 9.60157; 8.3033
184; 1; 222.157; 218.602; 8.52866; 6.39066; 8.83954; 9.24925
185; 1; 224.282; 219.934; 8.6351; 4.60722; 7.62029; 6.51652
186; 1; 226.407; 222.153; 8.74158; 3.26964; 6.40104; 6.51652
187; 1; 228.533; 225.353; 8.84807; 5.9448; 10.3636; 9.14414
188; 1; 230.658; 226.84; 8.95461; 5.2017; 8.07751; 9.56456
189; 1; 232.784; 228; 9.06117; 5.64756; 8.68713; 7.25225
190; 1; 234.911; 230.537; 9.16782; 4.60722; 9.14435; 7.67267
191; 1; 237.037; 233.324; 9.2744; 5.49894; 8.99194; 8.82883
192; 1; 239.164; 234.237; 9.38106; 5.64756; 9.14435; 9.66967
193; 1; 241.292; 236.145; 9.48772; 3.7155; 8.53473; 7.25225
194; 1; 243.419; 239.171; 9.59444; 4.75584; 9.60157; 8.82883
195; 1; 245.547; 240.805; 9.70117; 6.6879; 12.0401; 9.66967
196; 1; 247.675; 242.026; 9.80791; 4.4586; 8.99194; 7.46246
197; 1; 249.803; 243.906; 9.91469; 4.30998; 8.53473; 7.98799
198; 1; 251.932; 246.494; 10.0206; 5.64756; 10.8208; 9.45946
199; 1; 254.061; 248.287; 10.125; 5.49894; 8.83954; 8.93393
200; 1; 256.19; 250.256; 10.2294; 4.01274; 8.22991; 7.56757
100; 0; 100; 98.1528; 2.53031; 1.52866; 2.42866; 2.34234
100.5; 0; 100.5; 98.0595; 2.51281; 1.65605; 2.73224; 2.61261
101; 0; 101; 98.658; 2.49529; 1.78344; 2.93463; 2.7027
101.5; 0; 101.5; 100.166; 2.49704; 1.27389; 2.12508; 2.25225
102; 0; 102; 100.71; 2.51704; 1.65605; 2.42866; 2.43243
