10 0.0462144 12.55 7.05 224.357
20 0.0896214 9.15 4.75 218.631
30 0.153166 7.15 3.45 212.809
40 0.231103 5.35 2.55 206.883
50 0.324117 4.375 2.15 200.802
60 0.438088 3.625 1.75 194.651
70 0.562224 2.875 1.35 188.379
80 0.670573 1.83 0.83 181.95
90 0.817624 1.49 0.67 175.347
100 0.976562 1.19 0.55 168.588
110 1.14723 0.85 0.39 161.642
120 1.33542 0.65 0.27 154.475
130 1.50692 0.53 0.21 147.129
140 1.68276 0.45 0.17 139.448
150 1.86546 0.35 0.13 131.493
160 2.08551 0.25 0.09 123.126
170 2.24162 0.21 0.07 114.398
180 2.41029 0.1625 0.059 105.116
190 2.56392 0.1325 0.045 95.2668
200 2.75372 0.1025 0.033 84.5107
210 2.87406 0.0875 0.025 72.7543
220 2.99215 0.0675 0.019 59.6469
230 3.0691 0.0525 0.013 44.626
240 3.15332 0.0425 0.009 27.2608
250 2.14365 0.0475 0.001 6.03315
