10 0.00343494 0.99 -0.55 223.034
20 0.0235042 0.99 -1.05 215.887
30 0.0739834 0.99 -1.45 208.629
40 0.177058 0.99 -2.25 201.151
50 0.298305 0.97 -2.45 193.515
60 0.481745 0.97 -2.95 185.738
70 0.8129 0.95 -3.05 177.723
80 1.13675 0.95 -3.65 169.504
90 1.59083 0.93 -3.95 160.829
100 2.18466 0.89 -4.15 151.898
110 2.84227 0.89 -4.55 142.726
120 3.8312 0.85 -4.35 132.994
130 5.20828 0.79 -4.45 122.812
140 6.39642 0.77 -4.35 111.76
150 8.16919 0.73 -4.15 100.173
160 10.5666 0.65 -3.65 87.4719
170 12.7484 0.59 -3.75 72.8858
180 17.2779 0.53 -2.55 55.2485
190 24.0061 0.35 -0.85 31.7299
200 42.3439 0.116667 3.15 8.88973
